user_id,payment_date,amount
8,2024-03-26,534.87
10,2024-04-09,635.22
12,2024-01-08,429.61
16,2024-04-08,504.48
20,2024-03-15,461.42
26,2024-01-30,257.99
29,2024-03-08,637.49
31,2024-03-09,808.59
33,2024-01-20,368.93
37,2024-03-17,644.4
40,2024-03-15,373.7
41,2024-01-13,519.92
43,2024-01-18,726.2
45,2024-03-21,421.93
51,2024-01-22,497.8
52,2024-01-18,229.77
53,2024-04-11,400.37
55,2024-01-13,214.06
58,2024-03-22,564.38
59,2024-02-26,624.75
64,2024-03-31,466.75
70,2024-03-05,542.88
74,2024-01-31,451.14
77,2024-02-12,611.08
79,2024-03-15,519.42
86,2024-03-11,202.15
87,2024-02-15,641.0
95,2024-03-06,441.57
101,2024-04-09,309.44
102,2024-03-21,434.16
105,2024-01-08,214.69
110,2024-03-30,312.52
114,2024-02-13,521.44
131,2024-02-16,534.01
146,2024-03-25,545.97
151,2024-01-30,500.48
157,2024-02-16,396.07
161,2024-02-06,491.83
164,2024-02-22,434.42
165,2024-03-14,256.13
176,2024-03-09,384.14
192,2024-03-14,633.43
193,2024-02-12,738.24
194,2024-04-06,597.69
199,2024-01-19,731.55
200,2024-02-15,512.81
219,2024-03-21,761.36
221,2024-03-27,808.17
225,2024-02-01,239.98
229,2024-01-20,533.22
235,2024-01-15,512.96
244,2024-03-18,436.38
246,2024-02-12,573.79
276,2024-03-04,506.17
279,2024-03-28,389.68
282,2024-02-17,496.01
287,2024-03-30,680.69
295,2024-03-17,527.38
296,2024-02-12,594.04
303,2024-03-22,458.44
312,2024-02-21,567.81
314,2024-03-10,318.62
315,2024-01-14,425.04
316,2024-02-09,484.6
325,2024-01-28,308.55
329,2024-02-27,375.47
333,2024-02-24,546.97
335,2024-02-18,519.47
338,2024-03-01,620.95
353,2024-02-10,409.92
355,2024-04-07,508.64
359,2024-01-11,399.22
360,2024-04-11,605.92
379,2024-03-16,678.61
383,2024-03-23,572.5
385,2024-01-20,659.18
389,2024-03-12,504.87
393,2024-03-08,620.84
396,2024-02-05,511.31
411,2024-03-22,346.26
414,2024-03-04,537.01
416,2024-02-29,350.71
418,2024-01-28,850.87
420,2024-01-31,449.89
434,2024-01-14,596.76
446,2024-03-28,498.14
448,2024-01-26,314.96
459,2024-01-25,215.22
460,2024-04-09,612.35
461,2024-04-08,732.4
465,2024-02-11,389.78
468,2024-03-23,251.5
472,2024-01-26,451.23
476,2024-01-11,359.43
488,2024-02-11,402.45
492,2024-01-23,591.56
495,2024-02-14,492.43
496,2024-02-20,375.57
497,2024-03-26,588.28
498,2024-02-23,600.03
499,2024-02-27,449.44
503,2024-02-24,520.69
516,2024-03-06,578.08
528,2024-02-18,563.92
530,2024-02-02,506.09
532,2024-03-11,714.89
545,2024-01-24,587.4
546,2024-03-07,432.4
549,2024-01-22,433.3
550,2024-03-11,416.29
551,2024-01-24,594.82
552,2024-03-27,406.59
556,2024-03-30,436.27
565,2024-03-03,658.7
572,2024-03-09,528.74
579,2024-01-29,679.78
596,2024-02-17,619.71
598,2024-03-30,323.5
602,2024-01-27,484.68
605,2024-02-21,648.49
607,2024-02-14,316.67
608,2024-03-17,562.96
613,2024-02-16,494.11
615,2024-04-10,236.78
616,2024-01-30,517.95
622,2024-02-02,374.38
629,2024-03-08,324.85
630,2024-03-15,501.37
638,2024-02-21,210.37
641,2024-03-08,398.86
642,2024-03-01,882.68
644,2024-03-28,597.53
651,2024-02-02,367.79
652,2024-02-24,710.62
660,2024-01-23,351.19
664,2024-01-25,416.95
665,2024-03-22,327.67
672,2024-02-15,538.41
675,2024-03-09,705.29
682,2024-03-14,350.15
683,2024-01-29,190.93
687,2024-03-26,663.65
690,2024-02-24,733.07
693,2024-04-03,200.74
695,2024-02-25,569.01
696,2024-02-03,533.98
701,2024-01-16,381.88
708,2024-02-07,290.85
709,2024-03-09,648.76
710,2024-04-10,526.86
712,2024-03-13,538.16
714,2024-02-25,406.73
716,2024-02-11,379.71
721,2024-04-01,131.75
722,2024-03-18,465.8
723,2024-01-12,715.82
727,2024-03-07,366.46
736,2024-01-10,271.64
737,2024-03-01,565.35
738,2024-02-19,593.01
747,2024-02-01,412.11
754,2024-03-02,447.69
764,2024-03-26,539.59
767,2024-03-18,476.67
769,2024-02-29,650.02
771,2024-02-08,865.59
778,2024-03-31,243.63
780,2024-03-04,684.46
785,2024-01-23,515.79
788,2024-03-25,708.23
791,2024-04-11,608.65
793,2024-02-14,509.17
798,2024-02-23,614.0
802,2024-03-30,440.88
808,2024-03-07,383.85
814,2024-02-27,621.63
823,2024-01-31,373.35
828,2024-01-21,596.36
834,2024-04-08,504.61
840,2024-04-05,150.58
841,2024-03-04,413.84
843,2024-02-26,550.23
858,2024-04-03,439.1
863,2024-01-22,117.99
866,2024-01-19,698.11
872,2024-03-15,525.41
873,2024-04-06,566.56
877,2024-03-06,429.01
882,2024-02-05,579.72
890,2024-01-27,775.22
893,2024-01-21,389.74
896,2024-02-20,750.05
900,2024-02-03,559.78
903,2024-03-07,369.59
906,2024-02-13,831.86
915,2024-03-14,558.75
922,2024-02-15,601.47
925,2024-03-15,459.6
929,2024-03-29,380.55
932,2024-03-10,525.17
937,2024-01-21,737.22
938,2024-02-05,453.55
940,2024-02-24,495.99
952,2024-04-09,718.45
955,2024-02-20,454.95
957,2024-01-20,576.54
964,2024-01-14,631.6
966,2024-01-22,470.48
980,2024-02-05,546.48
981,2024-02-13,599.17
985,2024-03-13,439.86
991,2024-02-10,622.36
